id,type,title,nimg,description,img
1,クラフトビール,FARMENTRY,1,"日本始まりの地といわれる奈良県橿原市で、２０２４年８月より醸造を開始しました。

発酵を意味するfermentと、 farm（農）+entry（入口）を掛け合わせた造語FARMENTRYを社名として、farm to tableを体現するようなブルワリーを目指しています。



",https://code4fukui.github.io/sabaejazzfes2025/img/1_1.jpg
2,クラフトビール,West Coast Brewing,5,"
■正式名称（ヨミ）
West Coast Brewing
（ウエストコーストブルーイング）

■Instagram タグ付け希望アカウント
@wcbshizuoka

■公式Webサイト
https://www.westcoastbrewing.jp/

■紹介文
静岡市で2019年に醸造をスタートさせた『West Coast Brewing（WCB）』。ブルワリーは、しらす漁が盛んな「用宗漁港」の一角にあった魚の加工場を建築士であるオーナー、バストン・デレックがデザインしリノベーション。良質な天然の地下水を使用しビール造りを行っています。目指しているのは、クラフトビールの本場であり、オーナーの故郷でもあるアメリカのビール。ホップの香りを効かせた、さまざまなスタイルのビールを造り、現在は毎週2～3銘柄を新作としてリリースしています。また、ブルワリーに隣接する直営ホテル(タップルーム併設)や、静岡・大阪・沖縄で8つの直営店を運営。さらに今夏、東京（丸の内・虎ノ門）にて2店舗の直営店をオープン。",https://code4fukui.github.io/sabaejazzfes2025/img/2_1.jpg
3,クラフトビール,DD4D,1,"1998年にセレクトショップとして松山市に誕生したDD4D、「常識に捉われず、自分の信じる道を行く」という代表の想いをもとに、2019年に松山市千舟町の店舗内にクラフトビールの醸造所が完成し、DD4D BREWING & CLOTHING STOREとして生まれ変わる。2021年には近郊の港町三津浜に第二工場が完成。これまで250種類以上のビールを全国、海外に販売。スポーツ、アパレル、製菓、映画など業界を越えたコラボも多数。

",https://code4fukui.github.io/sabaejazzfes2025/img/3_1.jpg
4,クラフトビール,Teenage Brewing,2,"埼玉県比企郡ときがわ町にあるビール醸造所。

既成概念にとらわれない自由な創造性と、10代の頃にあった恐れを知らない飽くなき探究心で、新しい驚きと感動を創っていきます。

好奇心の赴くままに五感と感情へのめり込み、感覚のトリガーとなる一杯を提供し続けます。新しい驚きと記憶を創る一杯に。



",https://code4fukui.github.io/sabaejazzfes2025/img/4_1.jpg
5,クラフトビール,うしとらブルワリー,1,"栃木県にてクラフトビールを製造しております。福井県ではめったに飲めないビールなので皆様一緒に乾杯しましょう！

",https://code4fukui.github.io/sabaejazzfes2025/img/5_1.jpg
6,クラフトビール,OUR BREWING,1,"OUR BREWINGは福井生まれの

クラフトビールブランドです。



福井で生まれ育った醸造家が

ビールのおいしさ、ビールが持つ

人をつなげる力に魅了されたことから、

国内外の著名ビール醸造所で経験を積み、

地元にUターンしました。



私たちが造るのは、飲んだ人の心が弾み、

隣にいる人と自然に打ちとける、

そんなつながりを生み出すビール。



素材と品質にこだわった自慢のビールを

福井から世界にお届けします。

",https://code4fukui.github.io/sabaejazzfes2025/img/6_1.jpg
7,クラフトビール,BETO COCO BREWING,4,"福井県あわら市にある小さなクラフトビール醸造所。

Groovy ！Hoppy！Swinging！

最高な1日に寄り添えるビールをご用意してお待ちしております。

",https://code4fukui.github.io/sabaejazzfes2025/img/7_1.jpeg
8,クラフトビール,KYOTO NUDE BREWERY,2,"京都市右京区京北に拠点を置くブルワリー「KYOTO NUDE BREWERY」。自然の恵みを活かしたローアルコールなセッションスタイルのビールを定番として、人と人とのゆるやかなつながりを醸します。



",https://code4fukui.github.io/sabaejazzfes2025/img/8_1.jpg
9,飲食ブース,惣so＆BOB⭐️,3,"鯖江駅前にある惣soです。

花椒の痺れと自家製ラー油の香り。
刺激を求めるあなたに四川風麻婆豆腐はいかがでしょうか？

そして…惣のレアキャラ【BOB】が登場！BOBオリジナルスパイス調合、スパイシー唐揚げ《大鶏排（ダージーパイ）》を提供します！

旨辛グルメでお腹も心も大満足。
惣のブースでお待ちしてます。

",https://code4fukui.github.io/sabaejazzfes2025/img/9_1.jpg
10,飲食ブース,SWEETS STAND KYO⭐️,3,"アレルゲンフリー米粉のチュロス、MAXポテト、ブリュレクレープ、ドリンクを販売させて頂いてます。特に辻利抹茶をふんだんに使用したチュロスがおすすめです！

初出店になりますがよろしくお願いいたします。

",https://code4fukui.github.io/sabaejazzfes2025/img/10_1.jpg
11,飲食ブース,焙煎カレー工房 玄武堂⭐️,3,"今回は越前海岸の志野製塩所の塩と鯛のアラを使用した鯛だしキーマカレーと香味野菜と牛すじをスリランカのスパイスで仕上げた牛すじカレーをご用意しました。

",https://code4fukui.github.io/sabaejazzfes2025/img/11_1.jpeg
12,飲食ブース,なぎまるkitchen⭐️,3,"福井県、越前町でとれた海鮮を主に使い提供させていただいています

冬は越前せいこかに丼、夏は越前いか刺し丼

そのほか、海鮮パスタ各種、海鮮串焼きなどもあります。

是非、越前の海の幸をご賞味ください。

",https://code4fukui.github.io/sabaejazzfes2025/img/12_1.jpg
